,reviews__|,reviews__|__date,reviews__|__content,reviews__|__score,reviews__|__name,Hotel No.,Score,,,,,,,,,,
K1,R33,"Reviewed: March 12, 2019","  \nrooms and view goods & near to monorail and bus stop easly get transport to anyplace , shopping and sighting nearby the hotel very near to klcc and roof top view excellent to spend time at night \nvalue for money.\nStayed in March 2019",7.9,Sabesan,K19,8.022891566,,,,,,,,,,
K1,R38,"Reviewed: March 11, 2019",  \nThe place is dirty and stinks.\nRoom rate is 34 ringgit  i was charged 49ringgit 10 for tax i dobt know whats the other 5ringgit for.\nI arrived 1-2am and left 6-7am.\nSuch an unpleasant place to stay and i was overcharged.\n  \nNone at all\nStayed in March 2019,2.9,Esperanza,K20,7.402197802,,,,,,,,,,
K1,R36,"Reviewed: March 11, 2019",  \nThe toilet should be repair. Water come out from the spray gun hose. Water too small. Bathing take too long because of the water too small..\n  \nThe bed extra comfy\nStayed in March 2019,5,Rosmah,K21,8.822222222,,,,,,,,,,
K1,R37,"Reviewed: March 11, 2019","  \nThe chemical they use for cleaning really stinks. They had no water discharger on all levels. I missed a restaurant in the hotel, and room service, but there were many places around to eat. But for a nice clean restaurant you have to walk a while. The hotel is on a one-way road, so double check to find your way back. \nAvoid the peak hours by bus otherwise you stuck in traffic for the evening!!\n  \nBus stop right in front of the hotel. There is a free city bus to roam around. Monorail is a few minutes walk from hotel. \nStuff was lovely and helpful. Internet worked fine. Bed was comfy. Shops, pharmacy, etc. all nearby.\nStayed in March 2019",9.6,Beatrix,,,,,,,,,,,,
K1,R39,"Reviewed: March 10, 2019",  \nIt would really help if the room description at the time of booking mentioned the fact that the room will not have a window.\n  \nThe staff were good and the hotel is really close to the monorail station.\nStayed in February 2019,10,Rami,,,,,,,,,,,,
K1,R41,"Reviewed: March 10, 2019","  \n1. Hotel need a deposit excluding rent it’s unique hotel in this world.\n2. Bathroom dirty and didn’t have water system to drain properly, \n3. Television too old without remote controls system you need to used manual button to change the channel,\n4. Behind the bad did not have any cell phone charger it’s too far from bad.\nI will not suggest any one to stay in this hotel with this handsome money.\n  \nI like nothing in this hotel, never booked again too dirty\nStayed in March 2019",4.2,Muhammad,,,,,,,,,,,,
K1,R40,"Reviewed: March 10, 2019","  \nBed is worn out, we were sleeping on a bunch of spring covered with bed sheet. Tv didn't work, shower heater & air conditioning can only on & off.. not private car park as stated, only park at small alley behind the hotel.\n  \nGreat location, bus station is in front of the door, near chow kit station, eateries at walking distance. Nice roof top view at night..\nStayed in March 2019",6.3,Sun,,,,,,,,,,,,
K1,R42,"Reviewed: March 10, 2019","  \nOther neibouring guests are so stupid \nThey slept but kept TV on all night \nAnd some are talking all night \n  \nEverything\nPerfect location \nEspecially the staff they are cute, professional and very nice\nStayed in March 2019",10,MAXBASEM,,,,,,,,,,,,
K1,R90,"Reviewed: January 8, 2019",  \nWhen i booked this property i request car park.They told will arrange car park but when i reach there no car park lot available. They ask to park my car any other places. I totally disappoint on the reception girl. i try to park my car at rear of the hotel around 3pm but around 4pm i when to check on my car found hit by lorry. i decide to check out on the next day.\n  \nwaste of money and time booked this property\nStayed in January 2019,2.9,Chandran,,,,,,,,,,,,
K1,R91,"Reviewed: January 7, 2019","  \nThe shower and sink were broken. I needed no smoking room with a window, but they have only a smoking room with a window and when somebody smokes in the nearby bathroom I had a smell inside my room. The table is very small.\n  \nHotel is situated near the city transport and near good restaurants, but outside on the street are so many homeless people. Good wardrobe with hangers.\nStayed in January 2019",5,Anonymous,,,,,,,,,,,,
K1,R92,"Reviewed: January 6, 2019","  \nVery dirty, noisy,  the pics presented on the website, a big lie. Why do you accept lies about 3 star hotel when something like that is hardly accepted a shelter for pigs?\n  \nThe approach of the departure day\nStayed in January 2019",2.9,metadon,,,,,,,,,,,,
K1,R93,"Reviewed: January 6, 2019","  \nThe hotel doesnt meet my expectations,  the bed was not comfy and  the comforter was dirty.. Air conditioner also doesnt cool at all.. The room doesnt really good like the picture shown in booking. Com\n  \nThe area was convenient with lots of groceries store that u can just walk around with ur own.. Grab also really cheap and easy to access\nStayed in January 2019",5,Azwani,,,,,,,,,,,,
K1,R76,"Reviewed: January 29, 2019",  \nThey charged us with tourists taxes and another fee. So the price shown was not the right price. Staff were not very friendly. Also on the pictures they show windows with curtains...\nBut know that behind the curtains is a fake window. Haha!\n  \nLocated next to many markets and next to a train station. \nStayed in January 2019,6.3,Sao,,,,,,,,,,,,
K1,R77,"Reviewed: January 29, 2019",  \nDidn't feel comfortable at all. The security very poor. Feel scary and creepy because there's someone randomly knocking the door n make a lout of sounds outside the door. \n  \nPricing\nStayed in January 2019,5.8,El,,,,,,,,,,,,
K1,R78,"Reviewed: January 29, 2019",  \nStaff\nBed rundown(mine was broken in the middle)\nWindow cover up with black paint\nElavator was really slow\n  \nRoom is spacious\nClean\nLocation accessibility\nStayed in January 2019,6.7,Mr_KayCute,,,,,,,,,,,,
K1,R79,"Reviewed: January 28, 2019","  \nWater leaks of taps, Water not properly goes off from bath room( Flooded).Dirty walls not painted for long time. Overflowing of sink water drainage  line to the bathroom.\n  \nSupport of front office staff\nStayed in January 2019",5.4,Ranjana,,,,,,,,,,,,
K1,R80,"Reviewed: January 23, 2019","  \nThere is no spoon or glass in the room and we need to borrow that from receptionists, our bed also have some stain\n  \nThe air conditioning are very cold and the bathroom are clean\nStayed in January 2019",5.8,Ricky,,,,,,,,,,,,
K1,R81,"Reviewed: January 21, 2019","  \nThe blanket is smelly like you didnt change it beforehand. Plus, there is no towel as per listed in facilities provided. Overall, is quite okay for that price.\nStayed in January 2019",4.6,Wan,,,,,,,,,,,,
K1,R83,"Reviewed: January 20, 2019",  \nThe noises from others air conditioner and  from the small street behind the hotel.\n  \nIt is close to a local market.\nThere is a drinking water dispenser in the floor.\nStayed in January 2019,7.9,Eniko,,,,,,,,,,,,
K1,R82,"Reviewed: January 20, 2019",  \nAir conditioning never worked\nWe don't have phone in our room for contacting reception \nCleaningness was very poor.\nCupboard of the room has not had doors\n  \nThe staff was very cooperative. Fare was very genuine. Rooftop location was awesome.\nStayed in January 2019,5.8,Amarjeet,,,,,,,,,,,,
K1,R84,"Reviewed: January 16, 2019","  \nArea is not all that nice, and it's a bit of a walk to get to anything worth seeing in my opinion. Smells bad outside and while nothing actually happened, it wasn't the safest feeling area. Again, good value for the cost, just nothing to write home about.\n  \nGood value for the money - nothing special at all, but an enjoyable stay. Easy to get to from the Airport - it's right on the monorail. Staff was very helpful, and even though they don't have laundry on site, they pointed me in the right direction. And they have AC, which is a must in KL.\nStayed in January 2019",8.8,Kyan,,,,,,,,,,,,
K1,R85,"Reviewed: January 15, 2019",  \nEverything just ok but sadly no TV in my room.no wonder the price was cheap..hv experience staying in other budget hotel like this but at least hv TV..will never ever stay in this hotel again n will never recommen to others\nStayed in January 2019,4.6,Haji,,,,,,,,,,,,
K1,R87,"Reviewed: January 14, 2019",  \nThe staff ask us to speak in english meanwhile she talk with another staff in malay.  It's hard to undersand malay?  Or just wanna messing around with us?  That all. All accommodation average value the money but not the staff. Thank you\nStayed in January 2019,5,Naz,,,,,,,,,,,,
K1,R86,"Reviewed: January 14, 2019","  \nIt was a pretty bad experience all round. The staff weren't that friendly. Not a single glass of drinking water was provided on the first night (and there were five of us!). There was a water refill though. The rooms were big but empty. The bathroom had things on the verge of being broken. The rooms weren't cleaned properly either.\n  \nThe rooms were big and spacious, and the location was pretty decent. That's about it for the good bit, I'm afraid!\nStayed in December 2018",4.2,Anurag,,,,,,,,,,,,
K1,R89,"Reviewed: January 13, 2019",  \nSimm Grands Inn can definitely improve better in terms of their parking availability as it is utterly confusing when it is stated parking is available while there is no such service available provided direvtly under their control.\n  \nHelpful desk staff\nStayed in January 2019,5.4,Nur,,,,,,,,,,,,
K1,R88,"Reviewed: January 13, 2019","  \nWalls and toilet dirty so we're the sheets, bed wasnt comfy and wasn't that good of location  \n  \nIt had good AC and close to a train and bus station. \nStayed in January 2019",5.8,Alex,,,,,,,,,,,,
K1,R94,"Reviewed: January 1, 2019","  \nThe details of the property listed look good. Wifi was exceptionally good, aircon was working well but tv wasn’t for the 2 nights/3 days I was there. No hairdryer and when asked, they confirmed they don’t have it at all. One towel for one person and you need to inform the reception every morning before you leave the property that you required the room to be made up, which wasn’t told me on my day of check-in. However they explained it was their policy which I wasn’t informed of. Almost no amenities in the room, other than bath and shower gel and a toilet roll. I must say, the room is very clean after it’s cleaned up on an everyday basis. I had a slightly scary experience as I took the lift to the 1st floor where my room was located and a man whom I assumed was a hotel guest who joined me inside the lift going up. He pressed “4” to supposedly get to his floor but he didn’t get off. Instead he got off the lift on the 1st floor after I did and walked behind me. I turned and looked behind me and when he turned into the first corridor (because he saw me looking behind me?), I almost ran for the next turning into a corridor and hurried into my room. It wasn’t a pleasant experience in this respect and it raised certain questions as to why he pressed for the “4th Floor” but walked out after I got off on the First Floor. I didn’t report this to the reception as I was leaving the next day. \n  \nWhen cleaned, the room was very clean. Wifi was very good. Aircon was working very well. \nStayed in December 2018",6.3,madcap,,,,,,,,,,,,
K1,R95,"Reviewed: January 1, 2019","  \nVery easy access. Staff were very friendly, professional and very helpful.  Thanks for the receptionists and other staff. Me and my kids enjoyed our stay and it was a memorable one. Thanks once again\nStayed in December 2018",10,Samat,,,,,,,,,,,,
K1,R63,"Reviewed: February 9, 2019",  \nOn our first nights stay at the hotel our room got smoked out due to the shower almost catching on fire at midnight. After making the staff aware it took 30 minutes for somebody to come to our room and then a further 2 hours for them to actually move us. The air con & television remote did not work in our room- the staff were very unhelpful and having to pay a service charge on arrival makes it even more laughable. This is not a 3 star hotel!! \nStayed in February 2019,3.3,Lauren,,,,,,,,,,,,
K1,R64,"Reviewed: February 8, 2019","  \n- The room was not clean on arrival. Bedding was covered in stains and floors sticky. Booking.com profile states daily cleaning but i only received three during two week stay. \n-received numerous insect bites throughout trip. 1st and 2nd room both filled with ants. \n- Shower broken : showerhead would detach from hose during shower and took three days to get fixed. \n  \nThe kind lady at the Front Desk was extremely helpful. She listened to every issue and did her best to resolve them (to he clear, its the cleaning staff who did a substandard job, not her). She is most likely underpaid and overqualified for her position. She is surely due a raise or promotion (thank you for all your help and patience). \nStayed in February 2019",5,Anonymous,,,,,,,,,,,,
K1,R65,"Reviewed: February 7, 2019","  \nRooms without day light! Windows locked and cover with sydney opera poster, absolutle disgusting! Walls dirty, cracks in a wall, tv without remote, only one channel half decent quality, damage bathroom, holes in tails, no even shelf in bathroom, even if u will put - do not disturb on your doors - staff dont respect that ( staff throw away my plastic cups to make coffee) stay away from this place!!! Pictures on booking - fake!!!\n  \nKl red bus line outside the hotel, nothing else was nice there.\nStayed in February 2019",4.2,Maciej,,,,,,,,,,,,
K1,R67,"Reviewed: February 6, 2019","  \nThe entrance are not most welcome for family guess. It's difficult for me with 4 kiddos to unload our bags at bus stop. Luckily i'm not driving myself. Also the water dispenser are not place at every floor & it's difficult to make milk for my baby.  Shampoo dispenser  bottle are not fix at dispenser. When I put it unlucky the shampoo dropped to the floor. And the last thing, they don't have tv remote control. 😅\n  \nAir conditioner are cold and I think it's well maintained 👍\nStayed in February 2019",5.4,Shah,,,,,,,,,,,,
K1,R68,"Reviewed: February 5, 2019",  \nGetting vegan food around the facility. It was quite a daunting task for us to walk some 4 to 5 miles before we could spot one.  \n  \nThe receptionist over there was helpful and kind enough to offer us some guidance. Proximity to station and well located within the city making access to easy to sight seeing places in and around Malaysia \nStayed in January 2019,8.3,Harish,,,,,,,,,,,,
K1,R70,"Reviewed: February 4, 2019","  \nTV channels restricted. Since most of the tourists are from other countries, if management providing English channels its appreciated.\n  \nFriendly staff..\nStayed in February 2019",8.3,Kota,,,,,,,,,,,,
K1,R69,"Reviewed: February 4, 2019","  \ndurty, smell of dampness, noisy, no bath, no shower cabine, just hole in the flour! durty walls, walls need repair, wlole number need repair, no window, no tv remoute. The staff is not friendly. Entry behaind bass station.\nStayed in February 2019",2.9,Valery Velichkin,,,,,,,,,,,,
K1,R71,"Reviewed: February 3, 2019","  \nThe parking not as expected. Park available at the behind of hotel but morning will have market, then your car will stuck cannot go out worse lorry might just hit your crack. Had to park far with charges.\n  \nCheap price\nStayed in February 2019",6.7,Nur,,,,,,,,,,,,
K1,R72,"Reviewed: February 3, 2019",  \n1. Check in and have to wait 20 mins for the key \n2. Get locked out my room because of poor maintenance \n3. Rude staff\n4. Noisy \n5. Poor cleanliness \n  \nAir con that’s it \nStayed in February 2019,5,Matthew,,,,,,,,,,,,
K1,R73,"Reviewed: February 3, 2019",  \nAC didn't work\nTV didn't work\nShower didn't work\nRooms smelled like cigarettes\nBeds super uncomfortable\nRoom dirty as hell\nNoisy as hell\n  \nPersonal was somewhat nice\nStayed in February 2019,3.8,Fidel Catro,,,,,,,,,,,,
K1,R46,"Reviewed: February 28, 2019",  \nGood location near kfc pizza hut  meny restaurant and super market and 7 eleven  ground floor can wash clothes .staff giving welcome to guest  good and friendly \nStayed in February 2019,7.9,Sitheswaran,,,,,,,,,,,,
K1,R47,"Reviewed: February 27, 2019",  \nnot provide the real parking car..the staff when u ask for parking..she just said we are not provide for customer parking..only have public parking..which is not safety..\nStayed in February 2019,5.4,Norhidayah,,,,,,,,,,,,
K1,R48,"Reviewed: February 27, 2019","  \nI'm sleeping on the spring instead of the mattress itself. Have informed the receptionist for several times but no actions taken. At the end, in about 9pm (I have informed them since morning before I left the room) they just passed to me a thin mattress cover which make no differences. Really not worth the money and time. The bed is a nightmare.. \n  \nNothing\nStayed in February 2019",4.2,Sarah,,,,,,,,,,,,
K1,R49,"Reviewed: February 26, 2019","  \nThey don't have a refrigeration, the outlet for charging is not compatible to my charger, no free slippers.\n  \nI like the location. Because it's along the high way so that easy to find the hotel.\nStayed in February 2019",6.3,Anna,,,,,,,,,,,,
K1,R50,"Reviewed: February 25, 2019",  \nYou guys really should inform early about the parking. i was expecting a whole lot better parking space. we parked our car further away from the hotel after going around the parking space back and forth to no solution at all! 🙂\nStayed in February 2019,6.3,Siti,,,,,,,,,,,,
K1,R51,"Reviewed: February 25, 2019","  \nI book triple room. Shower in my bathroom didn't work. I arrived around 11.30pm and report about the shower. The maintenance only arrived at 12.40am, which was really late. I was about to sleep at that time. They should check their basic facilities before receiving customers. My brother was in twin room. Their bathroom was okay. The parking area was behind the building. Full of urine stench. Lorries and cars from Chow Kit road block my cars which took some times to remove their cars. I was in hurry. If you came by Grab car or taxi, it's okay.\n  \nThe size of the room is nice.\nStayed in February 2019",4.2,Nik,,,,,,,,,,,,
K1,R52,"Reviewed: February 23, 2019","  \nHotel looks nothing like the pictures, room looks very cheap and dodgy, very loud at night with noise coming from the streets and people who come into the hotel.\nStayed in February 2019",5,Oussama,,,,,,,,,,,,
K1,R53,"Reviewed: February 23, 2019","  \nPls read above. . . . .\n  \nThe room very small and no refrigerator. No mineral water even. i suggest why not you all give 2 bottles free of mineral water for your guest next time. I like the room and its very clean. Aircondition is good. But your receptionist lady the fatty malay. Not friendly at all and she is a bit rude. When we ask her some question , she is trying and its seems that her answer always negative. I dont want to prolonge. . Thank you so much until for my next visit.\nStayed in February 2019",5,Sharifah,,,,,,,,,,,,
K1,R75,"Reviewed: February 2, 2019",  \nExtremely loud as well from outside and inside. You can hear every single step on the hallway and you can hear all the conversations on the streets as if they're chatting next to you. The bathroom was dirty and the warm water didn't work.\n  \nThe receptionist was very friendly\nStayed in January 2019,5.8,Robert,,,,,,,,,,,,
K1,R54,"Reviewed: February 18, 2019",  \nThe noisy from outside eventhough the door is closed well....the heater not so hot...the rest all ok fine\n  \nEasy to check in...Its comfortable for my purpose...I like the location...\nStayed in February 2019,9.6,Mohan,,,,,,,,,,,,
K1,R55,"Reviewed: February 17, 2019",  \nThe parking lot can be crowded as lorry send their stuff\n  \nRoom and bathroom is clean. Good and quick staff. Place is near public transportation and attractions.\nStayed in February 2019,10,Que,,,,,,,,,,,,
K1,R56,"Reviewed: February 15, 2019","  \nGive a better description of the place.  It really needs cleaning up.\n  \nNothing really, not good value for money, not very clean.  Super noisy at night.   Overall not very nice.\nStayed in February 2019",3.8,Gael Ludbey,,,,,,,,,,,,
K1,R57,"Reviewed: February 12, 2019",  \nThe main entrance has to be more presentable.\nThey should have the rooftop fixed with some chairs and table to be placed so that people could sit and enjoy the view of twin towers and other buildings. There should be a tea/coffee maker on probably the roof top. They should have the iron and water dispenser for all floors separately.\n  \nThe location and residence was value for money. Very affordable and nice& very helpful staff.\nStayed in February 2019,7.5,Husnain,,,,,,,,,,,,
K1,R58,"Reviewed: February 11, 2019","  \nPictures on website was nice and I  was happy to find so nice hotel with good rate but when  we just arrived first impression was terrible.  Room is dirty, linen was not clean , was painting some pink colors  some where, an dfor 5 days they  did not  change  it , just fold it accurately,  \nStayed in February 2019",4.6,Natali,,,,,,,,,,,,
K1,R59,"Reviewed: February 11, 2019","  \nOverall is ok! But the bath room water is really bad. ( No power ) & inside Hotel.com got mention Free car parking,'\nbut when reach there NO, some more need to parking at other area.\n  \nlocation\nStayed in February 2019",7.1,Alex,,,,,,,,,,,,
K1,R62,"Reviewed: February 10, 2019","  \nThe room was small and smelly with no windows. There was different plug (only one in the room) so we needed to buy adapter to use it (till then receptionists lent us their adapter to charge the phone a bit). \n  \nAC worked well, good location and value for money\nStayed in February 2019",7.9,Natia,,,,,,,,,,,,
K1,R61,"Reviewed: February 10, 2019","  \nTo be honest, most of the time you get what you pay for.But in this case it was pure disaster. Room was dirty, they didn’t even bother to clean up the floor, there was used towel in front of the bathroom on the floor as well, room smells like a cigarette and no chance to get some fresh air. Air con is loud and most important thing is that bed is really small and uncomfortable! Feeling was like on the waterbed with every move! Really wanted to check out right after check in. Disgusting!!!! Please don’t stay here as there are plenty of other hotels too\n  \nLocation, wifi really worked\nStayed in February 2019",5,Adela,,,,,,,,,,,,
K1,R60,"Reviewed: February 10, 2019",  \nThe Receptionist Miss Yaso was very helpfull. She went out of her way to help us in tremendous activities. Such as sending a taxi to pick up us from various location. Thank u Yasho. Best regards from Syed Yahiya. Jeddah Saudi Arabia\nStayed in February 2019,9.2,Syed Yahiya,,,,,,,,,,,,
K1,R96,"Reviewed: December 30, 2018","  \n1) improve above 4 points.\n2) please understand customer needs\n  \n1) stain on bed sheet.\n2) unpleasant smile (suspect someone bring durian into hotel)\n3) I request quiet room, but give me noisy room\n4) no free parking. but there is an option during online booking?! weird\nStayed in December 2018",5,Ht,,,,,,,,,,,,
K1,R97,"Reviewed: December 28, 2018","  \nevery thing except the above, bed, insects, towels, bathroom door without handle, orientation of water closet, house keeping, cleaning as a hole, no view, no kids channel, no fridge\n  \nhelpful staff, good location, WiFi internet, iron availability\nStayed in December 2018",6.3,إيهاب,,,,,,,,,,,,
K1,R98,"Reviewed: December 27, 2018","  \nTv channel got a bad receiption.Toilet look dirty especially at door.not be cleaned. Shampoo n liquid soap dispenser are broken. Luckily theres a male staff response my complain quickly.receiptionist are very hard to smile.\n  \nVery close with chow kit.internet good speedsafe parking behind premis, good n clean water dispenser. Nice view on rooftop.\nStayed in December 2018",7.1,Wan,,,,,,,,,,,,
K1,R99,"Reviewed: December 24, 2018","  \nThe floor are so oily the facilities like chair are poor and is already broken ,the wall are dirty , air condition need at least 20minute to get the surrounding in the room become cold.the toilet door are broken and the TV can't function normally. The bed is dirty and when we turn around on the bed it is like the base of the bed are already broken.\n  \nThe toilet are clean, workers are friendly\nStayed in December 2018",3.3,Chan,,,,,,,,,,,,
K1,R100,"Reviewed: December 22, 2018","  \nLock for bathroom door was not function. No kettle. \n  \nKlcc view from room, easy to park(free), uncle that take care at parking lot was very kind n nice. Near with place for shopping and eating. \nStayed in December 2018",7.5,Anonymous,,,7,7,6.4,6.3,6,7.1,7.2,6.7, Simms Grand Inn,"451 Seksyen 41, Jalan Tuanku Abdul Rahman,, 50100 Kuala Lumpur, Malaysia"
K1,R12,"Reviewed: April 9, 2019","  \nThe water heater are broken, then i called the counter to repair it or maybe change a room for us. But after the worker come to our room to fix it, he say that he cannot fix it. So we requested to change a room, he told us that all room are already booked and he keep say nvm its only 1 night... Besides, the aircond in the room keep make a strange sound and we unable to sleep whole night. Besides, there is no mineral water provided in the room and the cupboard are also dirty as the mattress also cause itchiness to my friend. After we checked out, we tried to communicate with the counter staff, but they are like not even care. They asked me to write the feedback here. If not i also wont waste my time to write these all thing. Thank you. \n  \nNothing. Besides the rooftop view of the hotel. \nStayed in April 2019",3.3,Anonymous,,,,,,,,,,,,
K1,R11,"Reviewed: April 9, 2019","  \nthe lobby hotel was very narrow, difficult for us to keep our bag.\n  \nOk, no breakfast in this hotel, but it is very easy to find restaurant nearby this hotel, zebra cross in front of this hotel it is easy to choose food what we like.\nStayed in April 2019",10,Cut,,,,,,,,,,,,
K1,R13,"Reviewed: April 8, 2019",  \n1) WIFI AVAILABLE BUT PHONE NETWORK NOT AVAILABLE INSIDE ROOM.\n2) TV IS NOT FUNCTIONING AT ALL FROM CHECK IN TIME UNTIL WE CHECK OUT. AFTER REPORT A FEW TIMES AT \nRECEPTIONIST THEY ONLY GIVES A REASON THE WEATHER.\n3) SMELLY ROOM\n4) TOILET DOOR BROKEN,5.4,Anonymous,,,,,,,,,,,,
K1,R14,"Reviewed: April 4, 2019","  \nThe house keeping staff was a bit rude. He entered my room when I’m not ready to cover my head. I felt so frustrated that day. I’m sorry only for this services, it did not meet my satisfaction.\nStayed in March 2019",7.1,Syazlyn,,,,,,,,,,,,
K1,R1,"Reviewed: April 23, 2019","  \ntheir rooftop was so bad, hopefully more improvement\n  \nthe receiption was so bad and she can't even speak malay with me eventhough i understand her english. so please improve more on your malay ;))\nStayed in April 2019",7.9,Nur,,,,,,,,,,,,
