Hotel,reviews__|,reviews__|__date,reviews__|__content,reviews__|__score,reviews__|__name,Hotel,Score
S1,R60,"Reviewed: April 12, 2019","  \nPrice, massively overcharging for a breakfast that you get at most hotels\n  \nHad the breakfast once.  Was fairly standard, not worth £30 each!  Go out and have a much nicer breakfast, much cheaper.\nStayed in April 2019",7.1,Nicola,S12,8.739130435
S1,R49,"Reviewed: April 13, 2019",  \nSomeone was singing Karaoke from inside their room and sometimes opened their window and it was really loud in the evening when we were trying to sleep.  I did not know where it was coming from so I did not feel like I could complain.\n  \nClose to main sites and is connected to an MRT\nStayed in April 2019,10,Susan,S13,9.093333333
S1,R53,"Reviewed: April 13, 2019","  \nFood and beverage is way too expensive\nRooms are not impressive at all\nLifts are slow\n  \nBreakfast was brilliant selection, perhaps best I've had - but at a price!\nRooftop pool - bucket list experience\nStayed in April 2019",8.3,Santino,S14,7.932098765
S1,R50,"Reviewed: April 13, 2019",  \nFantastic hotel!!! Great food! Truly lovely and friendly people working there!!! Cleaning team is amazing! Ladies working at the small bar by the check in ( amazing cakes) are so so friendly and just naturally polite! Amazing staff at the hotel\nStayed in April 2019,10,Alam,S15,9.022826087
S1,R51,"Reviewed: April 13, 2019","  \nThe rooms were just above average. Nothing special about it other than the fact your paying a lot for infinity pool and view of Singapore city. \n  \nOf course, I love the infinity pool overlooking the city and also the skypark where there's the observation deck. There's nothing like it around the world and it was an amazing experience! \nStayed in April 2019",9.2,npliceralde,S16,8.91443299
S1,R54,"Reviewed: April 13, 2019","  \nThere’s nothing I didn’t like, except didn’t spend enough time at the pool.??\n  \nTreated like a vip. Daily calls to make sure our needs are met and if we need anything felt very good. A little token from staff was a nice touch.\nStayed in April 2019",10,Femy,S17,7.670833333
S1,R55,"Reviewed: April 13, 2019","  \nRelaxing is a bit difficult compared to other 5 star hotels since its packed with other tourists staying at the hotel, especially at the rooftop pool. But its kinda what I had to expect so it was not to bad :-)\n  \nI got upgraded for free since my room\nwas not ready at check-in time. Staff is really friendly and kind, the food was great and the view from my room and the pool were just breathtaking! I got lucky since I went there off season and got the room for a quite affordable price. If you got some money left I can definitely recommend you to stay there for at least one night since its a once in a lifetime experience\nStayed in April 2019",9.6,Kevin,S18,8.572
S1,R45,"Reviewed: April 14, 2019",  \nA bit pricey but there’s something similar to this standard and facilities.\n  \nFantastic hotel and amazing design.. very unique and would love to go back for another stay.\nStayed in April 2019,9.6,Ali,S19,8.92027027
S1,R47,"Reviewed: April 14, 2019","  \nPowdered milk, no shoe horn in room, wait for lifts too long, no power point in bathroom, would like a night light in bathroom\n  \nEverything under one roof\nStayed in April 2019",8.3,Leslie,S20,7.445205479
S1,R46,"Reviewed: April 14, 2019","  \nThe pool is full of instagrammers. We felt more like on a cruise ship.\nWe expected a lot more from 5 stars. The service was definitely not 5 star worthy. \nYou'll have a lot of long walks, changing elevators and towers to get where you want to.\nI wouldn't recommend staying there. I'd prefer staying in a real 5 star hotel facing the Marina Bay Sands and actually getting your money's worth.\n  \nOf course the infinity pool is nice\nStayed in April 2019",6.7,Katharina,,
S1,R48,"Reviewed: April 14, 2019","  \nBreakfast was not included in our stay despite the high rate of the room; The hotel was tooooo crowded, there was no privacy in the pool area and no room to swim, just a photo opp corner for those to take selfies at the infinity pool\n  \nRestaurant options within hotel, Proximity to MRT\nStayed in April 2019",7.5,Pooja,,
S1,R44,"Reviewed: April 15, 2019",  \nOnly issue I had. Flight delayed and immediately communicated with hotel. Upon arrival room given away. After 25-30 minutes finally got figured out and given a suite for more grand than needed. Other observation worth noting. While everything from the outside is beyond beautiful. Take one step into a bathroom and not we’ll kept at all\nStayed in March 2019,8.8,Justin,,
S1,R41,"Reviewed: April 15, 2019","  \nThey did not permit us into their casino because be did not have our passports stamped. Arrived in country on a on a Naval vessel. $800/night and could not access the one attraction I wanted. I get it, Singaporean law but this was not well spelled out on their website.\nStayed in April 2019",7.1,Darin,,
S1,R43,"Reviewed: April 15, 2019",  \nStaff english is very poor and they would not give late check out later than 13 hours to a client who spend over 20 k in marina bay\n  \nGreat facility with everything located in one place\nStayed in April 2019,7.9,Cenk,,
S1,R42,"Reviewed: April 15, 2019","  \nOur entire curtain rod and curtains fell out of the wall, to the floor at around midnight on our last night.  The room faced east so we definitely didn't want to be blasted with the sun in the morning.  Maintenance got there relatively quickly but told us we would have to move to another room because it would take a few hours to fix.  It was midnight, we were tired, and spread out.  It was the last thing we wanted to do, to pack up and move.  After much urging, he agreed to get a co-worker to help him and they were able to get it back up on a temporary basis to at least last us till we checked out in the morning.  Also, all the plants on our balcony were dead.  Very odd.  The first checkout person I talked to, didn't seem to understand what I was talking about until I showed him pictures of the maintenance man in our room at midnight.  The second one, later, was at least very apologetic and MBS paid for our breakfast.\n  \nThe infinity pool on the 57th floor is absolutely outstanding and worth the entire trip.  Awesome.  Nothing like it in any of the other 42 countries I've been to!\nStayed in April 2019",9.2,Felixa,,
S1,R34,"Reviewed: April 16, 2019","  \nstaff from pool area, they discriminate people that are going inside the pool area, example we tried to go in with friends but only allowed 2 access card at the time means 2 people in and need to go out if you have friends with you that want to go in too.BUT when we wait there's a family next to us ( Caucasians ""WHITE"" ) the same staff guarding the pool where you scan the card he let in all the family even they only have 2 access cards like ours. they should make consideration on the pool area since the charges of the Hotel especially per night are really expensive Tourist like us we just want to enjoy staying and take a pictures at the pool area.\n  \nlocation is great .\nStayed in March 2019",5.4,Michael,,
S1,R38,"Reviewed: April 16, 2019","  \nEverything was perfect. Staff is nice, room is clean and the view is amazing. The pool is absolutely wonderful. Staying here was worth the high price.\nStayed in April 2019",10,Alin,,
S1,R36,"Reviewed: April 16, 2019","  \nService by the pool - 2 days in a row I waited more than 30 minutes to be served, even after asking for service and being told they would come to me.  For the cost of this hotel you would expect to be well treated, and I didn't feel like that was the case.\n  \nThe hotel room was lovely and clean and the hotel is amazing in terms of stature.\nStayed in March 2019",6.7,Anonymous,,
S1,R37,"Reviewed: April 16, 2019",  \nsome days to many people at the pool area and no sunbeds available\n  \nI am still positively surprised how a hotel in this size can be so perfect in everything. i guess this was the best hotel i every stayed.\ngreat friendly staff and all very competent in their jobs. we were stoked\nStayed in April 2019,10,Anonymous,,
S1,R39,"Reviewed: April 16, 2019","  \nWe had booked a family studio that had one king and two single beds. We were given an upgrade to an Orchid Suite on level 51 at checkin (nice touch) but told that it had a fold out sofa bed and an additional cot could be put in the room. All of that sounded fine, although crowded, which unfortunately it was. The fold out sofa bed however was completely substandard for a 5 star property. The mattress springs were pushing through and made it impossible to have a decent night sleep on. My Daughter ended up sleeping on the the sofa cushions “on top of the bed”. Given the rating of this hotel, this is unacceptable and, if nothing else, that bed should be replaced. \nFurther, the pool area needs better planning. It looks like a cheap Spanish holiday resort with customers reserving seats with towels for hours on end and General chaos everywhere. If it wasn’t on the top of such an iconic building you would avoid it at all costs.\n  \nThe location is very good, the staff are efficient, the rooms are clean and generally well appointed.\nStayed in April 2019",7.1,Daniel,,
S1,R35,"Reviewed: April 16, 2019","  \nOver priced, loooooong queues to check-in and out, pool gets busy so you might be waiting for your order and club is nothing special\n  \nThe pool, I only went for the pool :)\nStayed in April 2019",7.9,Brett,,
S1,R40,"Reviewed: April 16, 2019",  \nOur toilet blocked up first night on first use - things happen but....\nThe room safe did not work- had to get security to come and fix it- we didn’t aces it until our departure and had to get security to open it because it failed again...prices are ridiculous for food- i could buy a coffee at one of the sorbet businesses within the hotel which was larger and half the price. A bowl of French fries at the pool were ridiculously priced and warm by the time we got them- after they had forgotten to include them with our drinks - attendant had forgotten to write it down.\n  \nThe view and location\nStayed in April 2019,6.3,Shirley,,
S1,R33,"Reviewed: April 16, 2019","  \nThe restaurants at the property are very expensive and we could not have breakfast in. It was difficult to find alternative options around the area as there is nothing around the hotel, there is only a shopping center with plenty of shops but not many food options.\n  \nSpacious rooms, good modern decoration, clean, friendly staff, great swimming pool and great rooftop bar. The casino was also great, and the staff very nice.\nStayed in March 2019",9.6,Tamara,,
S1,R30,"Reviewed: April 17, 2019","  \nFor this extraordinary price I would expect that at least some breakfast is included. \n  \nGreat Hotel, amazing location and stunning views from both the room as well as the rooftop pool. The whole team was extremely friendly and the service was excellent. \nStayed in April 2019",9.2,Tina,,
S1,R31,"Reviewed: April 17, 2019","  \nThe bed was slightly hard.. literally the only thing which wasnt superb. \n  \nEverything exceeded my expectations. Obviously the sky bar is the main pull and doesn't disappoint, that view is breathtaking. The facilities , cleanliness and staff attentiveness are fantastic. The location right on the bay and above the huge mall with shops and restaurants means you are never far from anything. I did not want to leave! \nStayed in April 2019",9.6,amyvic2002,,
S1,R32,"Reviewed: April 17, 2019","  \nEven though we had asked in writing beforehand, and then again at check-in, if we could use the pool after checking out, we were nearly unable to experience the pool. We had an evening flight and thought we’d enjoy the pool at the end of our stay. When we went to checkout, we were told using the pool was no longer available. The problem is that we had explicitly asked and been told we could turn in our room key for a temporary. The staff were insistent that we were mistaken and wouldn’t budge. They did offer an extra hour, 1/2 of which was wasted arguing. When we insisted on the manager viewing the CCTV tapes of our check-in, the tape was mysteriously missing and they finally offered us what had been promised. I would definitely stay at MBS again, but some of the staff could use a refresher on what customer service should look like.\n  \nMBS is such a beautiful place to stay, if you can afford it. The location, though not in the thick of things, is still very close and the MRT station underneath makes it easy enough to get wherever you need/want to go. The Skypark and rooftop infinity pool are all you could hope for, the latter only accessible to guests. We had a club level room with a city view. Club55 offered a great breakfast and evening cocktails (an afternoon tea, as well, which we missed).\nStayed in April 2019",9.2,BenB59,,
S1,R29,"Reviewed: April 17, 2019","  \nRooms, facilities and general areas are starting to look tired and worn. For all the hype and the expense, I’d expect absolutely everything to be 110% perfect. Examples include worn carpet and pathways, drapes not working in the room. Not up to expectations.\n  \nThe location and design of the complex are amazing.\nStayed in April 2019",6.7,Glenn & Caro,,
S1,R28,"Reviewed: April 17, 2019","  \nSo long queue at the check-in counter and the staffs work a bit slow there. Don't know if it's a thing at MBS or not because the staffs at the cashier desk in casino also work so slow.\nI know the infinity pool here is the most amazing pool ever in the world but should have another real pool that we can actually swim.\n  \nThe room is spacious. Very big (biggest hotel room in Singapore I suppose)  and comfortable and it comes with the best view. I want to give my compliment to Mr.Rong Rong, my housekeeping staff. He did such a great job and impressed me with things he provided for us each day.\nStayed in April 2019",9.6,Mo,,
S1,R25,"Reviewed: April 18, 2019","  \nIt's huge. Lots of walking between towers and through the shops. You need to be fit to stay here. \n  \nBrilliant location. The staff are fantastic, very friendly. Hotel looks gorgeous from many locations around Singapore. Best thing by far....THE POOL!!!!!!!\nStayed in April 2019",9.6,Susan,,
S1,R27,"Reviewed: April 18, 2019","  \nThe staff is insensitive in their approach to some customers. Seeing that me and my family are South Indian - they repeatedly made assumptions that were insensitive. The management was understanding and responsive when they heard this feedback - but even after that it happened again on the day we were checking out. Soured the experience for us. The waiters and housekeeping staff were kind, polite and attentive - it was the ushers, security and hostesses that put us off. \n  \nGreat location, nice views, convenient access to taxis, MRT and stores. Superb pool, nice restaurants and bars onsite. \nStayed in April 2019",6.7,Saiganesh,,
S1,R26,"Reviewed: April 18, 2019","  \nI don't like the room rate  , quite expensive for me I think .\n  \nbreakfast is good and the the location is very strategic .  the services is also good.\nStayed in April 2019",8.3,Henny,,
S1,R19,"Reviewed: April 19, 2019",  \nTry and get a room in Tower 2 you would get a great view for the shows from the rooms.\n  \nTry and get a room in Tower 2 you would get a great view for the shows from the rooms.\nStayed in April 2019,9.2,Rahman,,
S1,R24,"Reviewed: April 19, 2019","  \nFacilities at the swimming pool were poor, not suitable for a 5 star hotel, the water was dirtly (you can notice better during the evening when the lights are turned on), very crowded (resembling a communal bath) and noisy (no music from the bar). The view through is nice should you manage to find 40cm of space near the edge.\nIf the reason for your booking is to get entrance at the swimming pool, probably you might reconsider. The bar placed exactly next to it is open to external guests as well, so you can have a drink enjoying the view.\n  \nSpacious and nicely fitted room and very friendly staff, we actually managed to get an early check.in (around 11.30AM). Sweet bar at ground floor offers delights and coffee at reasonable prices.\nStayed in April 2019",7.1,Mihail,,
S1,R23,"Reviewed: April 19, 2019","  \nNothing\n  \nFantastic Hotel, excellent location. Very spacious rooms. Outstanding friendly personnel in all areas . Awesome pool and sundeck on the roof. Nicely connected to the Luxury Shopping and convention center . The Marine Bay and Gardens are just a short walk Away.\nStayed in April 2019",9.6,Chris,,
S1,R22,"Reviewed: April 19, 2019","  \nAffinity pool very crowded and does not give the impression I expected. Waiters overwhelmed, difficult to find deck chairs.\n  \nStaff on the phone and in room dining was very good.\nJoanne who assisted us with transportation and check in was great.\nStayed in April 2019",7.9,Eden,,
S1,R21,"Reviewed: April 19, 2019","  \nLong queues at check in and check out\nThe place is HUGE. It’s like being in a shopping mall so prepare yourself for HUGE numbers of people everywhere.\nRooms are outdated, but spacious and comfortable\nBe prepared for up to 20min wait for a seat at breakfast \nStaff around the pool not attentive enough for people leaving towels to ‘claim’ good seats but then not using them\nThe pool is ALWAYS busy... we tried sunset, sunrise and midday... all the same. There isn’t a quiet time in the pool.\nOverall... very expensive for what you get. Stay for one night to tick it off the list, but no longer.\n  \nFood and drink quality very good\nAmazing pool view (if you can avoid the crowd)\nHelpful and attentive staff\nGood variety of bars and restaurants\nEasy access to shopping mall and Gardens by the Bay \nStayed in April 2019",7.9,Tristan,,
S1,R20,"Reviewed: April 19, 2019","  \nNothing \n  \nThe pool is amazing, staff friendly and professional, the room we had was quiet and we managed to get a good night sleep. Everything about the hotel is great. \nStayed in April 2019",9.6,Mariya,,
S1,R89,"Reviewed: April 2, 2019",  \nReally enjoyed our stay at this beautiful hotel. The breakfast buffet was amazing and offered a variety of items enough to have a filling and delicious meal. Will definitely be back! The hotel always smelled great too!\nStayed in March 2019,10,Kimberly,,
S1,R90,"Reviewed: April 2, 2019","  \nIt is rather a tourist attraction than a hotel which means hordes of people marching up and down all day in the lobby. This institute is the mass production version of hospitality.\n  \nLocation, architecture.\nStayed in April 2019",6.7,Krisztián,,
S1,R16,"Reviewed: April 20, 2019",  \nI book a room with pool table/media room ( sand suite ) roughly 3 weeks but eventually both choices of pool table/media room were fully book when I reach upon check in. I was really totally disappointed. Was given to Butler suite. A room with living room without the pool table/media room that I was excited for. \n  \nButler service was friendly and good.\nStayed in April 2019,9.2,Xiao,,
S1,R17,"Reviewed: April 20, 2019","  \nAsked for a half day additional stay and got a raw deal from 1pm to 6pm only even having checked in way later than I should have..\n  \nGreat Staff, brilliant service and all amenities accessible... Very clean, well maintained hotel..Very organized...\nStayed in April 2019",10,Anonymous,,
S1,R14,"Reviewed: April 20, 2019","  \nThe attention to detail from the staff. They always remember your name when dealing with them, and it seems everything they do, is to make your stay, the trip of a lifetime\nStayed in April 2019",10,PKel17,,
S1,R15,"Reviewed: April 20, 2019","  \nCustomer service.\n  \nHaving lived in more than 200 plus 5 stars hotels this will be one of the most overrated hotel for me. Overcrowded, over priced, poorly managed with a very poor customer orientation. The management response to my feedback was lukewarm and combative rather than accommodating and helping. The pool is dirty, unhygienic and overcrowded. But for the location, an extremely disappointing experience.\nStayed in April 2019",4.6,Rakesh,,
S1,R18,"Reviewed: April 20, 2019","  \nThe infinity pool is just a must. Enjoyable experience. So much fun taking pictures from there. You are given free bath towels. You have free access to the sky rooftop. And it's wonderful located to attend the night lighting show in Groove  trees, as well as to see the most modern area in Singapur, including the cloud forest, gardens by the bay and much more!\nStayed in April 2019",9.2,Eli,,
S1,R8,"Reviewed: April 21, 2019",  \nSlippers that fit !! Most Westerners [Male] are probably size 8 or more !\nUmbrella in room !\nIce more readily available on floors.\n  \nDid not choose breakfast ... expected better standard Western Selection.\nWifi poor ...  for the cost of staying there should be high speed offered as default not at an additional cost!\nStayed in April 2019,8.3,Peter,,
S1,R9,"Reviewed: April 21, 2019",  \nRoom temp set was too cold and AC took ages to adjust but luckily the staff helped us sort it out \n  \nWonderful room beautiful view friendly helpful staff who try to anticipate you're every requirements \nStayed in April 2019,10,Lesley,,
S1,R12,"Reviewed: April 21, 2019","  \nNothing to mention\n  \nThe service, facilities including the infinity pool, the views, MBS staff, surrounding shops/restaurants/casino - you honestly can't ask for anything more. Definitely recommended if you plan to travel in Singapore. Everything is at your fingertips and value is worth it. Such a great experience thank you MBS!\nStayed in April 2019",10,Thi,,
S1,R13,"Reviewed: April 21, 2019","  \nPool is overcrowded, the rooms are rather old fashioned, and the bed was very hard.\n  \nView from the pool is amazing and the hotel itself is a landmark. Perfect location.\nStayed in April 2019",8.3,Anonymous,,
S1,R10,"Reviewed: April 21, 2019","  \nIt is too distant from other areas, the hotel is quite big and it is so far to walk in that big shopping mall.  Even going to 7-11 takes 10-15 mins.\n  \nWe love the pool\nStayed in April 2019",7.1,Esther,,
S1,R11,"Reviewed: April 21, 2019","  \nVery high price. You do get what you pay for though, it is VERY luxurious here.\n  \nI stayed in a room on a lower floor. Spacious and very clean room. Infinity pool was beautiful as expected with prime views. Many available facilities, 24 hour gym. Friendly staff. CENTRAL location. Property is huge and essentially connected to whatever you need.\nStayed in April 2019",9.2,Stephanie,,
S1,R4,"Reviewed: April 22, 2019","  \nHow can someone dislike this place?\n  \nIt’s simply one of the best places in the world. No doubts. Skypool, C’e la vie Club (but why they called it like this and not c’est???), connected with skypool. Facilities, staff, room with sky view..\nStayed in April 2019",10,Valerio,,
S1,R5,"Reviewed: April 22, 2019","  \nIt’s really big so prepare to walk... so I was put in Tower 3 and to get to the casino in tower 1 access it’s a bit far to walk. I wasn’t told I needed a passport to enter the casino so I had left it in my room and it took awhile to go and come back and get in line again. I didn’t like that on Tower 2 entrance it says Casino but then doesn’t have Casino access. I paid extra to have Marina and city view and they gave me a high level garden view and said it was the same... so that wasn’t cool, although the garden view is quite nice but it is cheaper. I reserved dinner at Lavo on a Friday night and the food was just so so at best and the champagne bottle came hot and I had to wait for 30 minutes to chill as they wouldn’t replace it. Terrible service and waiters came  3 times to my table with drinks or orders of other tables. For the price I give Lavo a 4 out of 10 stars... their saving grace was amazing view and good music.\n  \nThe casino is great (on par to Vegas casinos), the architecture was amazing, the shops, the museum and the famous gardens will take days to discover. Very tasteful and modern decor. The pool is legendary although understandably quite full. Great music playing in the pool area. Great pool service as well! \nStayed in April 2019",7.9,Danny,,
S1,R6,"Reviewed: April 22, 2019","  \nNo bidet in the toilet. wiping with toilet paper alone is just unsanitary. Breakfast is not included. With expensive stay in the hotel, breakfast should have been included. MBS is the only hotel I checked in with no breakfast inclusion. Rate of breakfast is very high considering children below 12 years old does not eat that much. I once brought my children 10 & 12 years old and have only taken scrambled egg with rice and 2 glass of orange juice. it cost me SGD 52.00. With the expensive foods in MBS restaurant, we have to walk a distance to reach the food court. very tiring indeed but good exercise anyway.\n  \nEverything except what  I have written below in what didn't I like.\nStayed in April 2019",9.6,Emerson,,
S1,R7,"Reviewed: April 22, 2019","  \nLight switches for the bathroom and shower not in the bathroom but by front door\n  \nBeing privileged to access Club55 made our stay amazing, the staff throughout the entire hotel are simply amazing and a credit to the hotel\nA special mention however has to be made to both Aries and Farah, absolutely amazing customer service.\nThe pool, the bars and restaurants within the hotel .... thumbs up\nStayed in April 2019",9.2,Gazame,,
S1,R1,"Reviewed: April 23, 2019",  \nBecause its away from the centre of town an included breakfast experience as icing on the cake would have been lovely.\n  \nBreakfast was not included but could have been for the price.  The atrium and pool and viewing platform was fantastic and not to be missed.  All staff were very helpful although checking out could have been quicker by reducing que length some how.\nStayed in April 2019,8.8,Paul,,
S1,R2,"Reviewed: April 23, 2019","  \nWe had to leave. \n  \nBeautiful and spacious room. Loved having a bath after a long day of walking. The staff were so so lovely, I was even delivered a cake with a candle for my birthday! \nStayed in April 2019",10,Suzannah,,
S1,R3,"Reviewed: April 23, 2019",  \nThe check in process is very slow. There are long queue to wait for the check in. It is a joke that has  no chairs to sit while you are waiting for the check in for the 5 star hotel.\n  \nThe pool on the 57th floor is fantastic but it is not a good place to swim. There are so many people. The facility of the hotel is best.\nStayed in April 2019,8.3,Huot,,
S1,R85,"Reviewed: April 3, 2019",  \nCheck in queue was long and took a while though we were able to check in nearly two hours early which was fantastic. We ended up ordering room service when we got back to the room late at night and the meal was cold and dry by the time it arrived and also very expensive.\n  \nInfinity pool at Sunset was unreal!! The room itself was exceptional. An amazing place to stay and a fantastic experience\nStayed in April 2019,9.6,Warrick,,
S1,R87,"Reviewed: April 3, 2019","  \nStaff particularly Vincent Ong . He was very helpful. He upgraded our room. He was very efficient, our check in was very fast. He also attended our needs during our buffet breakfast as he has two jobs at Marina Bay Sands.\nThanks Vincent!\nStayed in April 2019",8.8,Jane,,
S1,R86,"Reviewed: April 3, 2019",  \nThe club 55 was terrible by club lounge standards. The service was slow and you had to queue to get in. The food was ok and there were no cocktails as advertised. They served wine but were very reluctant to top your glass up. Seemed like the alcohol was rationed. \nThe concierge were clueless and the checkin was poor. \nThe pool area wasn’t particularly clean and there was renovation work taking place which limited the sun beds. \nThe drink and food prices were extortionate. \nThe air con wasn’t very effective either. \nI think this hotel rests on its laurels become of its view. I don’t think I would be rushing back as definitely overpriced. \n  \nThe view was awesome and the location was great for sightseeing. \nThe breakfast was a very good standard. \nStayed in March 2019,5.8,Angela,,
S1,R88,"Reviewed: April 3, 2019","  \nNothing, 5 star.\n  \nThe room was magnificent, very spacious bed wonderful  facilities and view of the Gardens by the Bay unbelievable.  \nRestaurants five star, and acess to shopping centres very convenient.\nStayed in April 2019",10,Peta,,
S1,R81,"Reviewed: April 4, 2019","  \nthe hotel service did not met my expectation . the breakfast buffet was normal not for five-star hotel ! I just ate once and decided not to eat again there .\n  \nlocation is very nice , we can walk to the attractions easily.\nStayed in April 2019",5.8,S,,
S1,R83,"Reviewed: April 4, 2019","  \nNone.  Keep up the good work\n  \nThe service, the room, view and location.  When there was along line at check in, we were ushered to another counter and were attended to promptly.\nStayed in March 2019",10,Socorro,,
S1,R82,"Reviewed: April 4, 2019","  \nis a life time experience to enjoy the infinity pool. Was great, expecialy when it got dark and the city lights were on. In my case one night was enough, otherwise you see singapore only throw the rich eye perspective.\nStayed in March 2019",9.6,Alexandra,,
S1,R84,"Reviewed: April 4, 2019","  \nFor the price paid, you would expect something a bit more. The pool and view is not enough for the price point.\n  \nInfinity Pool was great. Close to trains and shopping centre.\nStayed in April 2019",9.6,jjvo12,,
S1,R80,"Reviewed: April 5, 2019","  \nThe signs of where to go are not always clear. \nThe carpets should perhaps more often cleared and replaced: the smell was a bit an issue.\n  \nThe view from the room, the pool.\nStayed in April 2019",8.8,Tibor,,
